gene,papillary 1,reticular 1, papillary 2, reticular 2, papillary 3, reticular 3
PAPPA,0.265086570826,0.26540129238,0.278158750255,0.156803046005,0.101414030567,0.140860016907
PAPPA-AS1,0.323033732151,0.213894144298,0.216612457326,0.0938691331102,0.113616958685,0.123435003645
PAPPA2,0.0359209862443,0.0418995933834,0.133122666142,0.0977097760059,0.0577838294711,0.114414945016
PAPSS1,2.62244136594,2.2957626503,2.20512853234,3.66778989074,2.97691917627,3.44007875299
PAPSS2,0.467154065014,0.145159591773,0.375055298162,0.206995029959,0.124062669575,0.142245033764
PAQR3,0.166314300696,0.214135505819,0.184712803965,0.185671281407,0.168391483074,0.239045998145
PAQR4,0.022956648174,0.0550445506089,0.0203736220154,0.0733147037736,0.0536732058365,0.0343825968403
PAQR5,0.0406035994992,0.0293398951895,0.0418129006622,0.136683088019,0.0925657603671,0.077551310848
PAQR6,0.0416586517319,0.0601299040443,0.0318804713291,0.0599111197953,0.0514563838921,0.0181359043171
PAQR7,0.613649528964,0.917005983939,0.91279405823,0.861823020842,0.659185146975,0.786520901977
PAQR8,0.0647345560884,0.0985576361975,0.0499676766638,0.0513855528016,0.0455464967155,0.0262598320223
PAQR9,0.0,0.0,0.0,0.0,0.0,0.0
PAQR9-AS1,0.134052353372,0.0949134764661,0.196247000356,0.141654135687,0.0918112308241,0.105036634063
PARD3,0.382305259382,0.657133951341,0.654128330982,0.65976649016,0.865188541099,0.778052604203
PARD3-AS1,0.0,0.0,0.0205551734608,0.0,0.0125286114557,0.0187619075768
PARD3B,0.702617661634,0.602328801142,0.651292738879,0.441547158522,0.652758814252,0.462384786122
PARD6A,0.0446703326274,0.0195983382747,0.0676957900645,0.0163348295552,0.0514907485536,0.043650438518
PARD6B,0.134457009979,0.281251243637,0.345740974288,0.545004547498,1.3324667706,0.931882306289
PARD6G,0.0476879678589,0.0849329960413,0.162708026204,0.0817729707636,0.0845839134509,0.077364125156
PARD6G-AS1,0.0150779448433,0.0467348130713,0.026736940265,0.050508153859,0.0776698208676,0.0198798281877
PARG,0.0979198441014,0.129265032976,0.402673527384,0.186430342339,0.181262571245,0.203610014689
